Date,Time,Voltage,SC_Current
14/10/2019,13:55:9,21.08,3.77
14/10/2019,13:58:8,20.77,3.88
14/10/2019,14:1:8,20.52,3.89
14/10/2019,14:4:8,20.35,3.81
14/10/2019,14:7:8,20.38,3.88
14/10/2019,14:10:8,20.33,3.95
14/10/2019,14:13:7,20.33,4.01
14/10/2019,14:16:7,19.12,1.25
14/10/2019,14:19:7,19.66,1.46
14/10/2019,14:22:7,19.58,1.41
14/10/2019,14:25:7,19.41,1.00
14/10/2019,14:28:7,19.37,0.81
14/10/2019,14:31:6,20.85,3.04
14/10/2019,14:34:6,20.57,2.92
14/10/2019,14:37:6,20.32,2.51
14/10/2019,14:40:6,20.24,2.33
14/10/2019,14:43:6,20.33,2.61
14/10/2019,14:46:5,20.25,2.61
14/10/2019,14:49:5,20.30,2.61
14/10/2019,14:52:5,20.23,2.54
14/10/2019,14:55:5,20.17,2.44
14/10/2019,14:58:5,20.13,2.38
14/10/2019,15:1:5,20.14,2.24
14/10/2019,15:4:4,20.17,2.23
14/10/2019,15:7:4,20.20,2.12
14/10/2019,15:10:4,20.24,2.04
14/10/2019,15:13:4,20.18,1.95
14/10/2019,15:16:4,20.11,1.80
14/10/2019,15:19:3,19.89,1.46
14/10/2019,15:22:3,19.91,1.34
14/10/2019,15:25:3,19.80,1.11
14/10/2019,15:28:3,19.59,0.87
14/10/2019,15:31:3,19.25,0.60
14/10/2019,15:34:3,19.26,0.55
14/10/2019,15:37:2,18.99,0.43
14/10/2019,15:40:2,18.86,0.39
14/10/2019,15:43:2,18.74,0.32
14/10/2019,15:46:2,18.68,0.30
14/10/2019,15:49:2,18.67,0.30
14/10/2019,15:52:1,18.57,0.27
14/10/2019,15:55:1,18.44,0.24
14/10/2019,15:58:1,18.36,0.23
14/10/2019,16:1:1,18.24,0.21
14/10/2019,16:4:1,18.17,0.19
14/10/2019,16:7:0,18.07,0.18
14/10/2019,16:10:0,18.10,0.18
14/10/2019,16:13:0,17.93,0.17
14/10/2019,16:16:0,17.58,0.13
14/10/2019,16:19:0,17.34,0.11
14/10/2019,16:22:0,17.25,0.10
14/10/2019,16:24:59,17.17,0.09
14/10/2019,16:27:59,16.96,0.07
14/10/2019,16:30:59,16.76,0.08
14/10/2019,16:33:59,16.55,0.07
14/10/2019,16:36:59,16.16,0.05
14/10/2019,16:39:58,15.35,0.03
14/10/2019,16:42:58,14.35,0.03
14/10/2019,16:45:58,12.55,0.01
14/10/2019,16:48:58,10.85,0.01
14/10/2019,16:51:58,8.70,0.02
14/10/2019,16:54:58,6.23,0.00
14/10/2019,16:57:57,3.62,-0.01
14/10/2019,17:0:57,1.70,-0.00
14/10/2019,17:3:57,0.78,0.00
14/10/2019,17:6:57,0.32,-0.01
14/10/2019,17:9:57,0.13,0.00
14/10/2019,17:12:56,0.07,-0.00
14/10/2019,17:15:56,0.05,-0.00
14/10/2019,17:18:56,0.03,-0.00
14/10/2019,17:21:56,0.04,0.00
14/10/2019,17:24:56,0.03,0.01
14/10/2019,17:27:56,0.03,-0.00
14/10/2019,17:30:55,0.02,0.01
14/10/2019,17:33:55,0.01,-0.00
14/10/2019,17:36:55,0.01,0.01
14/10/2019,17:39:55,0.01,0.00
14/10/2019,17:42:55,0.01,0.00
14/10/2019,17:45:54,0.00,-0.00
14/10/2019,17:48:54,0.00,-0.00
14/10/2019,17:51:54,0.00,-0.00
14/10/2019,17:54:54,0.00,0.00
14/10/2019,17:57:54,0.00,-0.00
14/10/2019,18:0:53,0.00,-0.00
14/10/2019,18:3:53,0.00,-0.00
14/10/2019,18:6:53,0.00,0.00
14/10/2019,18:9:53,0.00,0.00
14/10/2019,18:12:53,0.00,0.01
14/10/2019,18:15:53,0.00,0.00
14/10/2019,18:18:52,0.00,-0.01
14/10/2019,18:21:52,0.00,0.00
14/10/2019,18:24:52,0.00,-0.01
14/10/2019,18:27:52,0.00,-0.01
14/10/2019,18:30:52,0.00,0.00
14/10/2019,18:33:51,0.00,-0.01
14/10/2019,18:36:51,0.00,-0.00
14/10/2019,18:39:51,0.00,-0.01
14/10/2019,18:42:51,0.00,0.00
14/10/2019,18:45:51,0.01,0.01
14/10/2019,18:48:51,0.01,0.01
14/10/2019,18:51:50,0.01,0.00
14/10/2019,18:54:50,0.01,0.01
14/10/2019,18:57:50,0.00,0.00
14/10/2019,19:0:50,0.00,0.00
14/10/2019,19:3:50,0.00,0.00
14/10/2019,19:6:49,0.00,-0.00
14/10/2019,19:9:49,0.00,-0.01
14/10/2019,19:12:49,0.00,-0.00
14/10/2019,19:15:49,0.00,0.00
14/10/2019,19:18:49,0.00,0.01
14/10/2019,19:21:48,0.00,-0.00
14/10/2019,19:24:48,0.00,0.00
14/10/2019,19:27:48,0.00,0.00
14/10/2019,19:30:48,0.00,0.00
14/10/2019,19:33:48,0.00,0.00
14/10/2019,19:36:48,0.00,0.00
14/10/2019,19:39:47,0.00,-0.02
14/10/2019,19:42:47,0.00,-0.01
14/10/2019,19:45:47,0.00,-0.00
14/10/2019,19:48:47,0.00,0.00
14/10/2019,19:51:47,0.00,-0.00
14/10/2019,19:54:46,0.00,0.00
14/10/2019,19:57:46,0.00,-0.01
14/10/2019,20:0:46,0.00,0.00
14/10/2019,20:3:46,0.00,-0.00
14/10/2019,20:6:46,0.00,-0.01
14/10/2019,20:9:46,0.00,-0.00
14/10/2019,20:12:45,0.00,0.00
14/10/2019,20:15:45,0.00,-0.01
14/10/2019,20:18:45,0.00,0.00
14/10/2019,20:21:45,0.00,0.01
14/10/2019,20:24:45,0.00,-0.00
14/10/2019,20:27:44,0.00,-0.01
14/10/2019,20:30:44,0.00,0.00
14/10/2019,20:33:44,0.00,0.00
14/10/2019,20:36:44,0.00,0.00
